str,en,ru
sign_in,Sign in,Sign in
sign_up,Sign up,Sign up
create_account,Create an Account,Create an Account
welcome_slogan,Easy way to send money to you friends and close people,Easy way to send money to you friends and close people
email_address,Email Address,Email Address
password,Password,Password
repeat_password,Repeat Password,Repeat Password
phone_number,Phone Number,Phone Number
phone_number_code,Code,Code
gender,Gender,Gender
date_of_birth,Date of Birth,Date of Birth
male,Male,Male
female,Female,Female
nickname,Nickname,Nickname
provide_details,Please enter your user details,Please enter your user details
continue,Continue,Continue
confirmation,Confirmation,Confirmation
skip,Skip,Skip
code_sent_to_number,Code has been sent to number,Code has been sent to number
sms_code,SMS-Code,SMS-Code
get_new_code,Get new code,Get new code
get_new_code_in,Get new code in,Get new code in
repeat_pass_code,Repeat passcode,Repeat passcode
enter_pass_code,Enter your Passcode,Enter your Passcode
create_passcode,"Create a passcode for your account","Create a passcode for your account"
repeat_code,Repeat Code,Repeat Code
cancel,Cancel,Cancel
delete,Delete,Delete
verify_your_identity,Verify your Identity,Verify your Identity
please_verify_personality,Please verify your personality to get full access to transactions,Please verify your personality to get full access to transactions
first_name,First Name,First Name
last_name,Last Name,Last Name
type_of_document,Type of document,Type of document
proceed,Proceed,Proceed
sign_up_success,Success!,Success!
account_created,Your account has been created,Your account has been created
done,Done,Done
passcodes_not_match,"Passcodes do not match, try again","Passcodes do not match, try again"
email_or_phone_number,Email Address or Phone Number,Email Address or Phone Number
forgot_password,Forgot Password?,Forgot Password?
request_password_reset,Request Password Reset,Request Password Reset
we_send_you_email_or_sms,Enter Email Address or Phone number you registered with and we’ll send you an email or sms with password reset instructions.,Enter Email Address or Phone number you registered with and we’ll send you an email or sms with password reset instructions.
submit,Submit,Submit
verify_code,Verify code,Verify code
please_enter_code,Please enter the code we sent to you,Please enter the code we sent to you
verification_code,Verification Code,Verification Code
create_new_password,Create a new password,Create a new password
fill_fields_to_create_password,Fill follow fields to creation of a new password,Fill follow fields to creation of a new password
new_password,New Password,New Password
confirm_new_password,Confirm New Password,Confirm New Password
unrecognized_username_or_password,"Sorry, unrecognized username or password","Sorry, unrecognized username or password"
error,Error,Error
success,Success,Success
ok,OK,OK
alert,Alert,Alert
wrong_email_or_phone_number,Wrong email or phone number,Wrong email or phone number
check_your_email_instructions,Check your email for instructions,Check your email for instructions
check_your_sms_instructions,Check your sms for instructions,Check your sms for instructions
password_has_been_created,Password has been created,Password has been created
password_has_been_changed,Password has been changed,Password has been changed
connect_address_book,Connect Address Book,Connect Address Book
explanation_text_why_ask_and_where,Explanation Text why we ask and where to switch off (in system settings),Explanation Text why we ask and where to switch off (in system settings)
request_contacts,Request contacts,Request contacts
wallet_from,Wallet From,Wallet From
wallet_to,Wallet To,Wallet To
amount,Amount,Amount
description,Description,Description
select_wallet,Select Wallet,Select Wallet
total,Total,Total
fee,Fee,Fee
most_popular_payments,Most Popular Payments,Most Popular Payments
recent_transfers,Recent Transfers,Recent Transfers
whats_new,What's new,What's new
send_money,Send Money,Send Money
request_money,Request Money,Request Money
pay_bills,Pay Bills,Pay Bills
pay_invoice,Pay Invoice,Pay Invoice
send_invoice,Send Invoice,Send Invoice
currency_swap,Currency Swap,Currency Swap
buy_insurance,Buy Insurance,Buy Insurance
buy_stocks,Buy Stocks,Buy Stocks
open_bank_account,Open Bank Account,Open Bank Account
bank_account,Bank Account,Bank Account
all,All,All
wallets,Wallets,Wallets
wallet,Wallet,Wallet
send,Send,Send
add_fund,Add Fund,Add Fund
add_funds,Add Funds,Add Funds
withdraw,Withdraw,Withdraw
wallet_id,Wallet ID,Wallet ID
overview,Overview,Overview
snapshot,Snapshot,Snapshot
hello,Hello,Hello
send_to_contact,Send to Contact,Send to Contact
